first_name,last_name,wealth_segment,total_revenue
Jeffry,Slowly,Affluent Customer,133657.0600
Tye,Doohan,Affluent Customer,129789.9400
Herc,McIlhone,Affluent Customer,107476.6800
Queenie,Flips,Affluent Customer,106182.3300
Jessamine,Brazear,Affluent Customer,98618.7700
Mercy,Wilsone,High Net Worth,109334.7400
Lockwood,Exroll,High Net Worth,92405.1800
Linell,,High Net Worth,91450.1800
Gayelord,Lipman,High Net Worth,90493.0600
Jonell,Gon,High Net Worth,87555.7000
Jillie,Fyndon,Mass Customer,136632.4600
Hercule,,Mass Customer,129189.4800
Wendy,Randlesome,Mass Customer,101439.0700
Charis,Maas,Mass Customer,100891.3500
Cordelia,,Mass Customer,99880.6900
