"customer_id","first_name","last_name","gender","dob","job_industry_category_id","wealth_segment_id","deceased_indicator","address_id","property_valuation"
1,Laraine,Medendorp,F,1953-10-12,648,6,N,7622,10
2,Eli,Bockman,Male,1980-12-16,270,6,N,5971,10
3,Arlin,Dearle,Male,1954-01-20,892,6,N,3629,9
4,Talbot,"",Male,1961-10-03,397,5,N,616,4
5,Sheila-kathryn,Calton,Female,1977-05-13,3,2,N,4070,9
6,Curr,Duckhouse,Male,1966-09-16,585,4,N,4457,9
7,Fina,Merali,Female,1976-02-23,908,2,N,672,4
8,Rod,Inder,Male,1962-03-30,324,5,N,1149,12
9,Mala,Lind,Female,1973-03-10,142,2,N,2799,8
10,Fiorenze,Birdall,Female,1988-10-11,222,6,N,4648,4
11,Uriah,Bisatt,Male,1954-04-30,1043,5,N,7536,6
12,Sawyere,Flattman,Male,1994-07-21,22,5,N,6494,8
13,Gabriele,Norcross,Male,1955-02-15,1018,4,N,7250,9
14,Rayshell,Kitteman,Female,1983-03-25,982,1,N,4229,4
15,Erroll,Radage,Male,2000-07-13,1032,5,N,1498,9
16,Harlin,Parr,Male,1977-02-27,274,6,N,4461,12
17,Heath,Faraday,Male,1962-03-19,628,2,N,3387,9
18,Marjie,Neasham,Female,1967-07-06,96,1,N,6794,8
19,Sorcha,Keyson,Female,2001-04-15,942,3,N,1332,7
20,Basile,Firth,Male,1980-08-13,901,5,N,6075,10
21,Mile,Cammocke,Male,1980-09-20,301,2,N,230,3
22,Deeanne,Durtnell,Female,1962-12-10,397,5,N,1220,5
23,Olav,Polak,Male,1995-02-10,568,4,N,4552,7
24,Kim,Skpsey,Female,1977-12-03,421,6,N,5911,4
25,Geoff,Assaf,Male,1976-12-02,953,6,N,6913,7
26,Trixi,Ginnelly,Female,1978-06-10,698,6,N,3260,11
27,Garvin,Klees,Male,1978-09-25,474,6,N,3670,12
28,Fee,Zellmer,Male,1973-09-30,179,2,N,2831,9
29,Mona,Sancraft,Female,1968-06-22,196,5,N,4455,9
30,Darrick,Helleckas,Male,1961-10-18,397,2,N,4716,8
31,Star,Praton,Female,1962-11-24,37,4,N,2617,6
32,Marion,Vanichkin,Female,1995-04-20,774,1,N,2540,8
33,Ernst,Hacon,Male,1957-06-25,262,2,N,5933,1
34,Jephthah,Bachmann,U,1843-12-21,759,1,N,1022,4
35,Margaretha,Strettle,Female,1963-09-28,314,4,N,3416,10
36,Lurette,Stonnell,Female,1977-11-09,432,1,N,6356,8
37,Laurie,Dwerryhouse,Female,1985-12-22,652,3,N,7862,9
38,Cordi,Merman,Female,1955-10-29,193,1,N,6419,10
39,Hunfredo,Smalley,Male,1979-04-16,848,5,N,6924,8
40,Tomasine,Jerche,Female,1981-10-27,696,1,N,725,2
41,Basilius,Coupe,Male,1976-04-14,604,5,N,1589,3
42,Chiquita,Durnall,Female,1977-03-28,1009,5,N,6288,6
43,Indira,Belt,Female,1983-03-01,684,5,N,5293,4
44,Neron,Verick,Male,1981-10-18,848,2,N,4623,9
45,Trace,Woodhead,Male,1975-09-23,721,5,N,406,9
46,Kaila,Allin,Female,1972-02-26,568,2,N,2661,10
47,Matthew,Jeaycock,Male,1992-10-22,934,1,N,6871,5
48,Rebbecca,Casone,Female,1975-08-15,77,6,N,7762,8
49,Nolly,Ownsworth,Male,1994-01-26,432,1,N,2696,3
50,Whitby,Schapero,Male,1980-10-01,439,6,N,2120,8
51,Fidelio,Dilke,Male,1959-12-05,820,5,N,2829,10
52,Curran,Bentson,Male,1988-06-22,908,6,N,4959,10
53,Agnella,Gocke,Female,1954-04-18,304,5,N,4236,6
54,Loralyn,Wonfor,Femal,1966-07-24,498,6,N,2659,9
55,Linc,Jillions,Male,1956-09-24,937,2,N,4495,9
56,Reese,Ensor,Male,1996-07-04,692,6,N,4798,10
57,Abba,Masedon,M,1988-06-13,597,6,N,120,7
58,Dalenna,Pinnock,Female,1967-07-04,1036,2,N,1398,8
59,Niki,Heathcote,Male,2000-02-08,881,3,N,6752,9
60,Nadiya,Champerlen,Female,1970-02-04,900,5,N,6028,8
61,Kacey,Rowbottom,Female,1959-11-29,778,3,N,5323,10
62,Sorcha,Roggers,Female,1979-07-06,397,6,N,1534,10
63,Ebony,Zini,Female,1965-07-03,436,6,N,6761,10
64,Gerek,Yve,Male,1978-03-25,759,3,N,4040,7
65,Yale,Tanser,Male,1976-04-01,806,2,N,5157,7
66,Anselm,Gawne,Male,2002-03-11,996,3,N,1070,12
67,Vernon,"",Male,1960-06-14,663,5,N,1386,10
68,Dahlia,Eddoes,Female,1974-04-21,354,1,N,6360,6
69,Heidi,Milner,Female,1969-06-22,210,5,N,4205,8
70,Foster,Vannoort,Male,1993-02-27,937,1,N,4507,8
71,Hoyt,Glavias,Male,1985-01-27,494,2,N,4494,8
72,Sammy,Cheese,Male,1972-02-13,975,2,N,3051,9
73,Minette,Worters,Female,1960-05-27,175,2,N,4707,5
74,Pansy,Kiddie,Female,1969-06-19,568,6,N,5914,9
75,Dollie,Sealy,Female,1978-07-15,603,5,N,1316,10
76,Rea,Hasser,Female,1978-01-23,132,4,N,3333,1
77,Shermie,Andrin,Male,1989-09-12,694,5,N,2551,6
78,Arch,Van der Kruis,Male,1985-03-12,142,1,N,433,8
79,Tybi,Silliman,Female,1968-10-02,439,5,N,714,12
80,Pablo,Small,Male,1978-04-24,201,5,N,899,11
81,Bee,Blazewicz,Female,1986-09-04,465,3,N,2426,11
82,Gleda,Cokely,Female,1965-06-28,429,3,N,1806,11
83,Kerr,Simmell,Male,1967-02-26,746,6,N,1634,12
84,Rich,Mathiasen,Male,1958-02-07,980,6,N,4906,12
85,Kane,Tixall,Male,1958-05-21,348,5,N,5377,11
86,Job,Sleney,Male,1989-03-04,29,4,N,217,10
87,Fields,Langdon,Male,1974-04-23,698,5,N,5649,9
88,Malynda,Tumber,Female,1966-02-03,778,4,N,4854,10
89,Benedicto,Hoxey,Male,1967-01-22,326,6,N,2434,10
90,Cary,Garron,Male,1984-11-12,363,5,N,4510,7
91,Dylan,Meaker,Male,1955-02-24,721,2,N,6732,10
92,Jodee,Judkins,Female,1980-09-11,334,5,N,1317,11
93,Gordon,Gowar,Male,1976-07-16,623,6,N,4315,8
94,Wallache,Simchenko,Male,1974-08-07,1027,5,N,586,10
95,Nomi,Mallinder,Female,1960-12-25,863,2,N,5124,9
96,Heath,Olford,Male,1968-08-31,22,5,N,1976,12
97,Arne,Corain,Male,1979-07-27,835,6,N,5163,10
98,Allianora,Babalola,Female,1956-03-17,1019,5,N,4218,9
99,Reggie,Mulliner,Male,1998-06-13,15,5,N,7833,12
100,Tripp,Steed,Male,1968-05-11,381,6,N,3792,10
101,Goran,Kwietek,Male,1975-12-29,946,3,N,2897,10
102,Langsdon,Tranfield,Male,1956-11-27,363,1,N,306,9
103,Ethyl,Runham,Female,1997-04-21,772,2,N,7895,12
104,Odille,Panketh,Female,1978-06-06,838,6,N,1908,8
105,Maribeth,Pristnor,Female,2001-09-17,129,5,N,1647,11
106,Glyn,"",Male,1966-07-03,921,4,N,1021,8
107,Pris,Stallebrass,Female,1990-07-01,1012,6,N,859,12
108,Kayle,Mingaud,Female,1994-03-14,568,3,N,2855,11
109,Cody,Blabey,Male,1978-12-11,108,2,N,1956,4
110,Sascha,St. Quintin,Male,2000-07-31,908,1,N,7320,9
111,Cele,Evason,Female,1993-08-29,348,5,N,1280,1
112,Shena,Parren,Female,1975-08-12,386,3,N,6132,8
113,Gage,Nickless,Male,1956-05-06,925,5,N,159,6
114,Sunny,Swindells,Female,1985-10-23,502,1,N,2240,10
115,Alberik,Mereweather,Male,1981-12-21,715,5,N,5507,7
116,Scottie,Swiffen,Male,1999-02-05,616,2,N,1863,2
117,Nance,Suttling,Female,1982-02-23,1044,5,N,7219,9
118,Prentice,Pearmain,Male,1959-11-12,1008,3,N,1872,2
119,Willey,Chastanet,Male,1981-12-04,1026,4,N,3685,8
120,Sloan,Wagg,Male,1978-09-02,929,4,N,1441,8
121,Myles,Pauncefort,Male,1957-10-02,813,5,N,1742,10
122,Colver,Itter,Male,1979-04-19,318,6,N,3420,4
123,Almeta,Kalinsky,Female,1988-12-03,13,3,N,974,1
124,Kath,Cunney,Female,1995-05-03,434,4,N,754,5
125,Darrelle,Antoniewski,Female,1960-03-17,18,5,N,4826,9
126,Norman,Cliff,Male,1992-10-15,572,6,N,5712,7
127,Merrili,Whitear,Female,1974-12-03,818,5,N,6147,3
128,Isidro,Cypler,Male,1977-07-17,781,6,N,4965,8
129,Weidar,Silkstone,Male,1985-07-20,107,4,N,3062,1
130,Raddy,Delete,Male,1997-07-18,948,5,N,2598,11
131,Jana,Renyard,Female,1964-10-16,678,3,N,5588,6
132,Celesta,Willavoys,Female,1963-07-07,88,6,N,1335,3
133,Eldridge,Fiddeman,Male,1977-06-13,15,6,N,4030,10
134,Merna,McCulloch,Female,1997-08-01,783,2,N,6515,9
135,Rosalia,Sigart,Female,1975-01-18,746,5,N,1014,1
136,Mel,Bennet,Male,1973-05-26,897,4,N,1148,9
137,Vaughn,Artin,Male,1987-11-21,472,3,N,7883,11
138,Onofredo,Franc,Male,1985-04-28,256,2,N,5531,9
139,Gar,"",Male,1964-07-28,255,1,N,6060,6
140,Morrie,Flaxon,Male,1994-05-20,319,5,N,5100,3
141,Townsend,Trobe,Male,1954-06-25,591,4,N,2916,5
142,Bentley,Fortesquieu,Male,1967-08-07,707,1,N,4374,11
143,Kendall,Figg,Male,1957-09-01,965,6,N,4690,11
144,Jory,Barrabeale,U,,933,5,N,6119,8
145,Filippo,Ferrara,Male,1997-07-21,982,5,N,2899,7
146,Ricoriki,Matlock,Male,1985-04-08,363,5,N,5630,7
147,Rea,Pattrick,Female,1973-12-06,879,6,N,3170,9
148,Jaquith,Maffey,Female,1981-05-08,281,6,N,6591,12
149,Drucy,Kausche,Female,1995-01-31,474,6,N,5789,8
150,Bradly,Crosse,Male,1983-08-23,507,1,N,6587,8
151,Donnie,Brimson,Male,1965-01-31,1044,6,N,7894,10
152,Stephana,Cardew,Female,1981-03-03,818,5,N,6547,11
153,Lorilyn,Walshe,Female,1977-07-28,848,6,N,5322,8
154,Faydra,Dulieu,Female,1958-02-13,828,5,N,2087,6
155,Orran,Bogges,Male,1985-12-28,471,5,N,4862,10
156,Shayla,Rimmington,Female,1979-09-09,507,6,N,5420,11
157,Chad,Houtby,Male,1974-11-23,107,1,N,4368,10
158,Hamlin,Odams,Male,1984-09-03,477,1,N,1232,10
159,Arin,Matskevich,Male,1987-05-12,474,1,N,5384,10
160,Wake,Durning,Male,1964-07-15,934,5,N,2875,4
161,Tadd,Bloss,Male,1976-01-21,568,5,N,7249,10
162,Port,Acuna,Male,1979-08-12,268,5,N,3360,4
163,Kessia,Helder,Female,1976-09-06,438,4,N,1121,6
164,Aarika,Van Vuuren,Female,1999-08-07,117,2,N,7364,6
165,Aldon,Roelofs,Male,1984-03-25,70,6,N,5476,9
166,Elston,Oleszczak,Male,1955-06-12,182,1,N,941,8
167,Nathalie,Tideswell,Female,1969-10-27,465,4,N,7469,11
168,Reggie,Broggetti,U,,862,2,N,178,4
169,Alfy,Bruhnke,Male,1957-10-19,173,4,N,4525,8
170,Jammal,Gever,Male,1975-06-02,504,3,N,4067,9
171,Halli,Davidoff,Female,1970-12-04,28,5,N,6012,11
172,Hilton,Carney,Male,1988-09-12,1016,2,N,6687,8
173,Ebba,Hanselmann,Female,1997-01-02,234,1,N,5641,5
174,Catie,Tosspell,Female,1989-11-26,604,5,N,1470,7
175,Templeton,Hambrook,Male,1975-11-28,471,1,N,6105,9
176,Angelo,Clayal,Male,1992-04-13,103,5,N,7434,8
177,Ondrea,Pablos,Female,1989-11-09,461,3,N,1285,1
178,Matthieu,Bertelmot,Male,1967-04-03,568,1,N,2765,4
179,Esteban,Sewill,Male,1966-05-11,41,4,N,3007,10
180,Trisha,Neasham,Female,1971-09-17,655,1,N,2824,1
181,Pavla,Braunle,Female,1982-11-21,907,5,N,1877,5
182,Lydon,Dahlman,Male,1992-11-20,90,2,N,3811,7
183,Dannie,Hissie,Female,1997-08-05,559,1,N,3756,10
184,Nappie,Paolo,Male,1971-12-13,1044,4,N,2021,11
185,Crosby,Walcot,Male,1979-12-13,1043,6,N,5736,4
186,Mireielle,Jeppe,Female,1974-05-06,658,5,N,7882,9
187,Pincas,Ather,Male,1954-01-28,191,5,N,1286,7
188,Audry,Seine,Female,1975-06-22,860,4,N,6387,6
189,Umberto,Torricella,Male,1981-07-19,961,1,N,2417,7
190,Hayley,Girardengo,Female,1979-02-04,934,1,N,6817,5
191,Christopher,Heining,Male,1960-04-27,954,2,N,7286,9
192,Goldi,Osler,Female,1978-11-19,224,6,N,4653,8
193,Foss,Hardes,Male,1964-07-22,129,6,N,5024,12
194,Ursala,Ferrai,Female,1974-11-16,947,1,N,4741,7
195,Talyah,Rylatt,Female,1958-11-14,901,5,N,4408,8
196,Swen,Odhams,Male,1966-02-22,583,3,N,29,2
197,Avis,"",Female,1977-01-27,568,3,N,4737,9
198,Vanya,Gumb,Female,1981-11-29,848,5,N,134,5
199,Verla,Alven,Female,1978-02-13,224,6,N,6134,11
200,Hube,Weald,Male,1957-02-04,595,2,N,2351,10
201,Salem,Huie,Male,1966-04-20,317,6,N,3671,9
202,Audie,Pillinger,Female,1963-06-24,438,2,N,2579,9
203,Donovan,Conry,Male,1964-01-13,189,6,N,6516,8
204,Thorny,Hackworth,Male,1976-10-01,698,5,N,1715,7
205,Rolfe,Kellard,Male,1958-12-01,7,6,N,1841,11
206,Mari,Chevolleau,Female,1954-07-19,713,6,N,7874,9
207,Adena,Whyman,Female,1994-08-10,568,5,N,6371,10
208,Rutter,Excell,Male,1994-10-31,697,3,N,945,4
209,Udall,Bellard,Male,1957-08-28,157,2,N,6704,4
210,Albrecht,Thomasson,Male,1963-11-18,853,5,N,335,9
211,Beitris,"",Female,1974-03-04,449,6,N,126,3
212,Nanice,Ellse,Female,2001-11-19,152,1,N,2649,10
213,Lockwood,Exroll,Male,1996-05-14,633,4,N,4465,11
214,Jeramie,Cellier,Male,1957-11-29,604,5,N,2944,8
215,Debera,Foxworthy,Female,1974-06-24,1037,4,N,2123,8
216,Cinderella,Parcall,Female,1995-01-12,309,4,N,5698,8
217,Jeralee,Quartly,Female,1979-12-09,900,3,N,7072,8
218,Stefa,Dunnan,Female,1993-08-06,74,4,N,1338,11
219,Markus,Mughal,Male,1964-11-25,114,5,N,3770,7
220,Jeniffer,Apark,Female,1954-05-10,1014,3,N,6948,12
221,Mara,Bloore,Female,1980-03-10,1004,5,N,5394,9
222,Nev,Larive,Male,1978-09-03,146,5,N,1034,7
223,Ossie,Meaton,Male,1983-11-26,100,2,N,2925,9
224,Morgun,Girvan,Male,1967-12-03,818,1,N,2174,7
225,Brittaney,Pring,Female,1977-03-11,504,1,N,7159,10
226,Bondie,Letty,Male,1977-11-11,926,5,N,4103,11
227,Wendall,McKeand,Male,1973-08-14,561,5,N,7328,10
228,Lucia,Pickervance,Female,1986-05-25,393,3,N,63,9
229,Vaughn,Lambis,Male,1966-03-06,1043,3,N,1572,10
230,Maegan,Scyone,Female,1954-06-24,819,3,N,90,10
231,Basile,Winsor,Male,1995-08-05,567,6,N,536,8
232,Zaria,Koeppke,Female,1987-11-11,786,5,N,1134,2
233,Art,Barwell,Male,1986-08-08,776,5,N,6952,11
234,Mead,Alpes,Female,1969-08-12,214,3,N,1831,8
235,Leona,Phateplace,Female,1976-12-26,652,5,N,2867,3
236,Tybalt,Gillingwater,Male,1954-10-30,474,1,N,3856,9
237,Reginald,Dartan,Male,1974-03-07,577,4,N,6714,7
238,Max,Bilborough,Male,1984-02-04,599,6,N,175,9
239,Wells,Pressman,Male,1992-12-13,934,1,N,3972,8
240,Gavin,Fawks,Male,1989-07-28,745,4,N,6485,6
241,Quillan,Duigan,Male,1987-05-09,667,5,N,6098,1
242,Taite,Droghan,Male,1992-03-20,387,1,N,3913,5
243,Barbara,Croxley,Female,1976-09-02,857,4,N,6102,4
244,Germayne,Sperry,Male,1974-11-25,585,1,N,5090,10
245,Noell,Grahlmans,Female,2001-09-26,261,1,N,5011,11
246,Binny,Whight,Female,1991-02-28,16,3,N,3675,10
