"customer_id","first_name","last_name","dob","job_industry_category_id","wealth_segment_id","deceased_indicator","owns_car","address_id"
1,Laraine,Medendorp,1953-10-12,10,3,N,Yes,3622
2,Eli,Bockman,1980-12-16,8,3,N,Yes,1971
3,Arlin,Dearle,1954-01-20,5,3,N,Yes,3629
4,Talbot,"",1961-10-03,7,3,N,No,616
5,Sheila-kathryn,Calton,1977-05-13,4,2,N,Yes,70
6,Curr,Duckhouse,1966-09-16,2,1,N,Yes,457
7,Fina,Merali,1976-02-23,8,2,N,Yes,672
8,Rod,Inder,1962-03-30,4,3,N,No,1149
9,Mala,Lind,1973-03-10,1,2,N,Yes,2799
10,Fiorenze,Birdall,1988-10-11,8,3,N,Yes,648
11,Uriah,Bisatt,1954-04-30,5,3,N,No,3536
12,Sawyere,Flattman,1994-07-21,3,3,N,No,2494
13,Gabriele,Norcross,1955-02-15,8,1,N,Yes,3250
14,Rayshell,Kitteman,1983-03-25,8,2,N,No,229
15,Erroll,Radage,2000-07-13,3,3,N,No,1498
16,Harlin,Parr,1977-02-27,4,3,N,Yes,461
17,Heath,Faraday,1962-03-19,4,2,N,Yes,3387
18,Marjie,Neasham,1967-07-06,4,2,N,No,2794
19,Sorcha,Keyson,2001-04-15,3,1,N,No,1332
20,Basile,Firth,1980-08-13,3,3,N,No,2075
21,Mile,Cammocke,1980-09-20,3,2,N,Yes,230
22,Deeanne,Durtnell,1962-12-10,7,3,N,No,1220
23,Olav,Polak,1995-02-10,4,1,N,Yes,552
24,Kim,Skpsey,1977-12-03,1,3,N,Yes,1911
25,Geoff,Assaf,1976-12-02,8,3,N,Yes,2913
26,Trixi,Ginnelly,1978-06-10,8,3,N,Yes,3260
27,Garvin,Klees,1978-09-25,10,3,N,Yes,3670
28,Fee,Zellmer,1973-09-30,10,2,N,Yes,2831
29,Mona,Sancraft,1968-06-22,3,3,N,No,455
30,Darrick,Helleckas,1961-10-18,7,2,N,Yes,716
31,Star,Praton,1962-11-24,9,1,N,Yes,2617
32,Marion,Vanichkin,1995-04-20,3,2,N,No,2540
33,Ernst,Hacon,1957-06-25,4,2,N,Yes,1933
34,Jephthah,Bachmann,1843-12-21,7,2,N,No,1022
35,Margaretha,Strettle,1963-09-28,10,1,N,Yes,3416
36,Lurette,Stonnell,1977-11-09,4,2,N,No,2356
37,Laurie,Dwerryhouse,1985-12-22,10,1,N,No,3862
38,Cordi,Merman,1955-10-29,8,2,N,No,2419
39,Hunfredo,Smalley,1979-04-16,6,3,N,No,2924
40,Tomasine,Jerche,1981-10-27,3,2,N,No,725
41,Basilius,Coupe,1976-04-14,10,3,N,No,1589
42,Chiquita,Durnall,1977-03-28,3,3,N,No,2288
43,Indira,Belt,1983-03-01,2,3,N,No,1293
44,Neron,Verick,1981-10-18,6,2,N,Yes,623
45,Trace,Woodhead,1975-09-23,8,3,N,No,406
46,Kaila,Allin,1972-02-26,4,2,N,Yes,2661
47,Matthew,Jeaycock,1992-10-22,10,2,N,No,2871
48,Rebbecca,Casone,1975-08-15,4,3,N,Yes,3762
49,Nolly,Ownsworth,1994-01-26,4,2,N,No,2696
50,Whitby,Schapero,1980-10-01,3,3,N,Yes,2120
51,Fidelio,Dilke,1959-12-05,2,3,N,No,2829
52,Curran,Bentson,1988-06-22,8,3,N,Yes,959
53,Agnella,Gocke,1954-04-18,8,3,N,No,236
54,Loralyn,Wonfor,1966-07-24,5,3,N,Yes,2659
55,Linc,Jillions,1956-09-24,8,2,N,Yes,495
56,Reese,Ensor,1996-07-04,5,3,N,Yes,798
57,Abba,Masedon,1988-06-13,4,3,N,Yes,120
58,Dalenna,Pinnock,1967-07-04,8,2,N,Yes,1398
59,Niki,Heathcote,2000-02-08,4,1,N,No,2752
60,Nadiya,Champerlen,1970-02-04,3,3,N,No,2028
61,Kacey,Rowbottom,1959-11-29,5,1,N,No,1323
62,Sorcha,Roggers,1979-07-06,7,3,N,Yes,1534
63,Ebony,Zini,1965-07-03,2,3,N,Yes,2761
64,Gerek,Yve,1978-03-25,7,1,N,No,40
65,Yale,Tanser,1976-04-01,8,2,N,Yes,1157
66,Anselm,Gawne,2002-03-11,1,1,N,No,1070
67,Vernon,"",1960-06-14,2,3,N,No,1386
68,Dahlia,Eddoes,1974-04-21,4,2,N,No,2360
69,Heidi,Milner,1969-06-22,4,3,N,No,205
70,Foster,Vannoort,1993-02-27,8,2,N,No,507
71,Hoyt,Glavias,1985-01-27,1,2,N,Yes,494
72,Sammy,Cheese,1972-02-13,3,2,N,Yes,3051
73,Minette,Worters,1960-05-27,4,2,N,Yes,707
74,Pansy,Kiddie,1969-06-19,4,3,N,Yes,1914
75,Dollie,Sealy,1978-07-15,5,3,N,No,1316
76,Rea,Hasser,1978-01-23,2,1,N,Yes,3333
77,Shermie,Andrin,1989-09-12,8,3,N,No,2551
78,Arch,Van der Kruis,1985-03-12,1,2,N,No,433
79,Tybi,Silliman,1968-10-02,3,3,N,No,714
80,Pablo,Small,1978-04-24,6,3,N,No,899
81,Bee,Blazewicz,1986-09-04,10,1,N,No,2426
82,Gleda,Cokely,1965-06-28,5,1,N,No,1806
83,Kerr,Simmell,1967-02-26,7,3,N,Yes,1634
84,Rich,Mathiasen,1958-02-07,4,3,N,Yes,906
85,Kane,Tixall,1958-05-21,4,3,N,No,1377
86,Job,Sleney,1989-03-04,10,1,N,Yes,217
87,Fields,Langdon,1974-04-23,8,3,N,No,1649
88,Malynda,Tumber,1966-02-03,5,1,N,Yes,854
89,Benedicto,Hoxey,1967-01-22,10,3,N,Yes,2434
90,Cary,Garron,1984-11-12,3,3,N,No,510
91,Dylan,Meaker,1955-02-24,8,2,N,Yes,2732
92,Jodee,Judkins,1980-09-11,10,3,N,No,1317
93,Gordon,Gowar,1976-07-16,2,3,N,Yes,315
94,Wallache,Simchenko,1974-08-07,3,3,N,No,586
95,Nomi,Mallinder,1960-12-25,3,2,N,Yes,1124
96,Heath,Olford,1968-08-31,3,3,N,No,1976
97,Arne,Corain,1979-07-27,8,3,N,Yes,1163
98,Allianora,Babalola,1956-03-17,10,3,N,No,218
99,Reggie,Mulliner,1998-06-13,8,3,N,No,3833
100,Tripp,Steed,1968-05-11,8,3,N,Yes,3792
101,Goran,Kwietek,1975-12-29,3,1,N,No,2897
102,Langsdon,Tranfield,1956-11-27,3,2,N,No,306
103,Ethyl,Runham,1997-04-21,8,2,N,Yes,3895
104,Odille,Panketh,1978-06-06,10,3,N,Yes,1908
105,Maribeth,Pristnor,2001-09-17,3,3,N,No,1647
106,Glyn,"",1966-07-03,10,1,N,Yes,1021
107,Pris,Stallebrass,1990-07-01,8,3,N,Yes,859
108,Kayle,Mingaud,1994-03-14,4,1,N,No,2855
109,Cody,Blabey,1978-12-11,4,2,N,Yes,1956
110,Sascha,St. Quintin,2000-07-31,8,2,N,No,3320
111,Cele,Evason,1993-08-29,4,3,N,No,1280
112,Shena,Parren,1975-08-12,2,1,N,No,2132
113,Gage,Nickless,1956-05-06,4,3,N,No,159
114,Sunny,Swindells,1985-10-23,6,2,N,No,2240
115,Alberik,Mereweather,1981-12-21,10,3,N,No,1507
